Accident,AssaultRifle,Handgun,LightMachineGun,MeleeWeapon,ShotGun,Sniper,SubMachineGun,ThrowableWeapon,Vehicle,x,y,分群,分群個數
2.69,64.68,0.21,0.57,0.2,0.31,18.43,5.36,3.67,1.61,344195.7363488963,229418.340472605,0.0,8633.0
0.28,48.1,6.67,0.07,2.3,12.82,4.36,20.62,1.92,0.41,365383.49326374894,403950.2836880643,1.0,124179.0
0.87,46.28,5.65,0.29,3.95,12.05,10.18,13.8,2.48,0.81,627983.9260588143,379389.55796185706,2.0,28781.0
0.22,46.39,3.49,0.04,3.77,14.59,9.74,14.5,1.95,0.17,448284.2825311101,631987.8978027132,3.0,88695.0
0.69,46.25,5.87,0.12,3.05,12.39,6.3,19.51,2.52,0.24,163972.28530025244,609898.4769911561,4.0,22248.0
0.58,52.65,4.8,0.11,2.32,9.91,6.41,17.75,2.42,0.48,157476.48761643923,294131.1033911801,5.0,46326.0
0.32,43.02,9.57,0.09,3.42,15.18,4.65,19.08,1.75,0.41,425872.5566729409,329405.7517271543,6.0,90844.0
1.21,39.41,7.85,0.22,5.32,12.4,7.3,17.32,3.85,1.17,660016.9772477032,104797.29197394504,7.0,2725.0
0.79,48.37,4.14,0.09,2.49,11.66,8.29,17.11,2.2,0.25,611214.2590073701,606588.8151130996,8.0,26295.0
2.39,64.81,0.43,0.51,0.59,0.72,15.26,6.43,3.28,2.5,495368.24609582464,297910.86672953656,9.0,13255.0
2.66,60.82,1.71,0.7,1.73,2.01,14.63,6.99,3.94,2.15,127072.7549230352,486046.5630303876,10.0,7471.0
3.52,60.96,0.74,0.36,0.4,1.3,15.75,6.48,3.77,3.12,481343.35187984083,456056.42078611767,11.0,11118.0
1.48,49.5,2.83,0.24,3.94,9.23,12.54,11.41,3.65,1.17,676004.541672676,467051.8532961742,12.0,15245.0
0.58,46.78,6.43,0.17,2.66,12.15,5.89,19.4,2.32,0.41,381595.36072172923,124898.48179717954,13.0,24026.0
0.78,48.19,6.31,0.23,2.45,11.92,6.31,18.01,2.27,0.74,599971.6470641077,477783.15075333125,14.0,34181.0
0.74,58.34,2.96,0.19,1.53,7.29,5.69,17.34,2.9,0.59,544793.0026557995,239893.552812317,15.0,47932.0
1.93,64.94,0.56,0.67,0.28,0.61,16.4,5.61,3.32,2.93,311295.5080617666,444664.2070891426,16.0,9973.0
1.85,57.64,2.85,0.37,1.78,4.04,12.54,9.61,3.1,2.71,307313.9590583638,537827.0142275953,17.0,18436.0
1.84,56.23,4.25,0.58,1.83,5.71,11.94,9.86,3.19,1.89,218392.79495035985,377301.47834441153,18.0,14001.0
0.65,42.09,6.46,0.09,5.11,12.64,6.43,18.92,3.15,0.67,125332.70630821155,129533.16044544429,19.0,4445.0
1.18,59.32,2.55,0.31,1.54,6.12,6.71,15.73,3.28,0.89,189276.32073454364,221427.2131367463,20.0,15057.0
1.61,55.09,1.86,0.29,2.41,5.07,15.2,8.71,3.65,2.13,563914.4294713177,362309.57725874207,21.0,14621.0
2.75,61.42,0.69,0.78,0.64,0.86,17.97,6.03,4.03,1.91,469140.28884710313,154411.70728439893,22.0,7711.0
0.81,46.97,5.71,0.24,3.09,12.19,7.97,15.99,2.54,0.7,699166.3808798514,329727.23900460947,23.0,17139.0
4.04,63.97,0.26,0.75,0.4,0.35,18.73,4.11,3.71,0.98,461223.0970238082,575918.7483718576,24.0,5712.0
0.49,48.65,6.46,0.07,2.94,11.53,6.18,18.93,1.76,0.41,404271.6141126226,291441.80113415944,25.0,58281.0
4.11,59.93,1.0,0.8,1.12,1.12,17.37,5.55,3.87,2.13,355113.51318927936,664855.7815384694,26.0,5785.0
2.96,61.68,0.74,0.77,0.66,1.27,17.35,5.34,4.08,1.92,216693.2843925001,527602.9985634373,27.0,8214.0
2.03,65.17,0.55,0.58,0.4,1.15,14.46,6.75,3.97,2.41,297360.0000077617,373212.7440288712,28.0,12887.0
0.84,45.26,2.9,0.09,3.7,12.94,12.17,13.38,2.18,0.59,207888.70156937925,282532.94598423503,29.0,28164.0
2.49,62.14,0.33,0.39,0.38,0.6,18.95,5.28,3.91,2.43,488603.59780860745,364261.59518496227,30.0,9948.0
2.78,55.04,3.78,0.26,1.81,6.19,10.8,12.0,2.82,1.71,344994.3140912767,317440.5718975179,31.0,16237.0
3.73,60.53,0.42,0.82,1.07,1.22,19.27,4.69,3.39,1.91,539063.3668069663,660825.3638415977,32.0,5227.0
3.56,58.74,0.74,0.37,0.72,0.87,17.41,4.81,3.23,4.93,370365.1386689823,587409.2639930695,33.0,8640.0
3.63,58.59,0.76,0.49,0.57,0.98,17.01,5.66,3.31,4.71,545344.8712829786,580443.597194507,34.0,9517.0
1.19,50.15,5.17,0.38,3.48,9.98,11.35,11.03,2.88,0.92,559123.1235928759,134413.79006471773,35.0,10198.0
1.4,51.37,5.11,0.49,2.28,7.64,11.52,12.88,3.04,1.62,615465.646633703,297169.57966690074,36.0,16992.0
