Accident,AssaultRifle,Handgun,LightMachineGun,MeleeWeapon,ShotGun,Sniper,SubMachineGun,ThrowableWeapon,Vehicle,x,y,分群,分群個數
0.88,45.67,5.8,0.28,4.05,12.5,10.24,13.91,2.42,0.65,625926.5921173284,381417.5036964814,0.0,27161.0
2.15,65.37,0.87,0.55,0.48,1.29,14.88,6.29,3.35,2.06,296567.137005576,340485.646022478,1.0,11301.0
0.18,47.94,2.49,0.03,3.65,14.07,10.27,13.79,2.02,0.16,443765.33681406605,629153.4800385332,2.0,72790.0
0.9,46.34,2.81,0.1,3.61,12.45,12.07,13.06,2.22,0.65,210115.86097230567,283176.5309330357,3.0,29538.0
1.86,65.07,0.83,0.42,0.78,1.42,12.5,8.26,3.37,2.25,471760.1652117096,292530.93966127955,4.0,12990.0
3.26,59.08,1.91,0.61,1.85,2.15,16.67,5.86,3.83,1.99,120234.76471783784,506584.9396014203,5.0,5068.0
2.43,63.18,0.61,0.43,0.31,1.19,15.46,6.81,3.83,2.9,479683.6936264598,430663.95750511973,6.0,14670.0
0.72,58.31,2.96,0.19,1.53,7.28,5.73,17.33,2.91,0.6,544547.3303920281,240170.3737831025,7.0,47950.0
0.62,47.49,6.1,0.18,2.52,11.52,6.52,18.74,2.41,0.63,383085.00464306126,128280.36417914153,8.0,25522.0
0.93,48.67,4.0,0.11,2.45,11.32,8.73,16.67,2.3,0.29,610268.5670265427,609452.970229126,9.0,27228.0
0.88,49.06,5.94,0.25,2.36,11.23,7.0,17.22,2.35,0.89,601475.949632135,476763.3971039343,10.0,36567.0
0.24,47.75,6.78,0.07,2.33,13.07,4.14,20.93,1.89,0.33,364896.8095855949,405586.96127621055,11.0,121140.0
1.79,57.72,2.9,0.39,1.81,4.08,12.31,9.74,3.15,2.63,305822.10389639484,537570.6124784622,12.0,17991.0
0.67,46.12,5.94,0.09,3.08,12.53,6.0,19.7,2.53,0.25,164525.64305158853,610591.4434628064,13.0,21982.0
1.81,61.81,1.37,0.5,0.97,2.2,14.36,8.26,3.54,1.97,659289.048205381,331164.58770287025,14.0,6408.0
1.12,58.83,2.67,0.31,1.57,6.43,6.18,16.4,3.33,0.8,187375.94481530704,222589.6751693323,15.0,14321.0
0.27,41.22,10.24,0.07,3.61,16.13,4.27,19.75,1.62,0.32,427414.4621808285,328705.52774532064,16.0,83315.0
2.72,61.92,0.75,0.73,0.69,0.85,17.11,6.23,4.09,1.87,470149.30603815307,152111.6163908328,17.0,7287.0
1.37,42.88,6.7,0.27,4.59,10.84,8.34,15.84,4.26,1.22,659403.8459201885,117365.09244193001,18.0,3358.0
1.19,48.94,3.83,0.19,3.77,9.96,11.02,12.77,3.45,0.86,696731.6480575623,455442.9680603845,19.0,21597.0
2.25,64.11,0.78,0.54,0.46,1.32,15.52,6.89,3.44,2.08,238276.0805219304,457314.58408414864,20.0,10078.0
